Age (yr BP),Temperature Anomaly (°C) ,Scaled to 4°C G-IG,,* relative to 1951-1980 mean
3000,0.29,0.51,,"from Shakun et al., 2015, Earth and Planetary Science Letters"
6000,0.42,0.75,,
9000,0.50,0.90,,
12000,0.12,0.22,,
15000,-0.75,-1.36,,
18000,-1.74,-3.13,,
21000,-1.89,-3.40,,
24000,-2.05,-3.68,,
27000,-2.09,-3.76,,
30000,-2.11,-3.79,,
33000,-2.12,-3.81,,
36000,-1.91,-3.45,,
39000,-1.82,-3.27,,
42000,-2.01,-3.62,,
45000,-2.03,-3.66,,
48000,-1.81,-3.27,,
51000,-1.50,-2.71,,
54000,-1.60,-2.89,,
57000,-1.31,-2.36,,
60000,-1.42,-2.56,,
63000,-1.93,-3.48,,
66000,-1.89,-3.40,,
69000,-1.81,-3.25,,
72000,-1.42,-2.55,,
75000,-1.19,-2.15,,
78000,-0.79,-1.43,,
81000,-0.43,-0.77,,
84000,-0.45,-0.80,,
87000,-0.81,-1.47,,
90000,-0.78,-1.40,,
93000,-0.65,-1.18,,
96000,-0.26,-0.46,,
99000,-0.24,-0.43,,
102000,-0.11,-0.21,,
105000,-0.16,-0.28,,
108000,-0.40,-0.72,,
111000,-0.58,-1.04,,
114000,-0.14,-0.25,,
117000,0.43,0.78,,
120000,1.01,1.81,,
123000,1.49,2.68,,
126000,1.41,2.54,,
129000,0.94,1.70,,
132000,0.19,0.35,,
135000,-0.61,-1.09,,
138000,-1.37,-2.46,,
141000,-1.51,-2.72,,
144000,-1.40,-2.52,,
147000,-1.34,-2.41,,
150000,-1.41,-2.54,,
153000,-1.26,-2.27,,
156000,-1.60,-2.88,,
159000,-1.54,-2.78,,
162000,-1.47,-2.65,,
165000,-1.71,-3.07,,
168000,-1.43,-2.57,,
171000,-1.29,-2.31,,
174000,-1.40,-2.51,,
177000,-1.30,-2.33,,
180000,-1.36,-2.45,,
183000,-1.20,-2.17,,
186000,-1.35,-2.42,,
189000,-1.32,-2.37,,
192000,-0.95,-1.71,,
195000,-0.67,-1.20,,
198000,-0.48,-0.87,,
201000,-0.25,-0.45,,
204000,-0.21,-0.37,,
207000,-0.28,-0.51,,
210000,0.13,0.23,,
213000,0.16,0.29,,
216000,0.50,0.90,,
219000,-0.03,-0.06,,
222000,-0.44,-0.80,,
225000,-0.75,-1.35,,
228000,-0.75,-1.35,,
231000,-0.66,-1.18,,
234000,-0.35,-0.63,,
237000,0.05,0.08,,
240000,0.76,1.37,,
243000,0.24,0.43,,
246000,-0.45,-0.81,,
249000,-0.83,-1.49,,
252000,-1.41,-2.53,,
255000,-1.46,-2.63,,
258000,-1.52,-2.73,,
261000,-1.55,-2.79,,
264000,-1.87,-3.37,,
267000,-1.93,-3.47,,
270000,-1.97,-3.54,,
273000,-1.86,-3.35,,
276000,-1.66,-2.99,,
279000,-1.26,-2.28,,
282000,-1.11,-1.99,,
285000,-0.60,-1.09,,
288000,-0.53,-0.96,,
291000,-0.87,-1.57,,
294000,-1.34,-2.42,,
297000,-0.98,-1.77,,
300000,-1.02,-1.84,,
303000,-0.80,-1.45,,
306000,-0.78,-1.41,,
309000,-0.38,-0.68,,
312000,-0.30,-0.54,,
315000,-0.40,-0.72,,
318000,-0.39,-0.71,,
321000,0.06,0.11,,
324000,0.41,0.74,,
327000,0.53,0.95,,
330000,0.91,1.64,,
333000,0.56,1.00,,
336000,-0.07,-0.12,,
339000,-1.61,-2.90,,
342000,-1.58,-2.85,,
345000,-1.61,-2.89,,
348000,-1.73,-3.12,,
351000,-2.03,-3.65,,
354000,-1.97,-3.54,,
357000,-2.18,-3.93,,
360000,-2.12,-3.81,,
363000,-2.24,-4.03,,
366000,-2.20,-3.96,,
369000,-2.33,-4.19,,
372000,-2.76,-4.96,,
375000,-2.37,-4.27,,
378000,-1.63,-2.94,,
381000,-1.89,-3.40,,
384000,-1.52,-2.74,,
387000,-1.62,-2.92,,
390000,-1.42,-2.55,,
393000,-1.45,-2.61,,
396000,-0.52,-0.94,,
399000,-0.25,-0.44,,
402000,0.14,0.25,,
405000,0.68,1.23,,
408000,0.92,1.66,,
411000,0.71,1.27,,
414000,0.84,1.50,,
417000,0.47,0.84,,
420000,0.44,0.80,,
423000,-0.10,-0.17,,
426000,-0.32,-0.58,,
429000,-0.92,-1.66,,
432000,-1.65,-2.98,,
435000,-2.28,-4.10,,
438000,-2.58,-4.65,,
441000,-2.16,-3.89,,
444000,-1.68,-3.03,,
447000,-1.52,-2.73,,
450000,-1.76,-3.17,,
453000,-1.48,-2.67,,
456000,-1.79,-3.23,,
459000,-2.55,-4.58,,
462000,-2.40,-4.32,,
465000,-2.33,-4.19,,
468000,-2.70,-4.86,,
471000,-2.42,-4.36,,
474000,-2.67,-4.81,,
477000,-1.75,-3.15,,
480000,-1.84,-3.32,,
483000,-1.06,-1.91,,
486000,-1.32,-2.38,,
489000,-0.42,-0.75,,
492000,-0.14,-0.24,,
495000,0.25,0.44,,
498000,-0.01,-0.02,,
501000,0.23,0.41,,
504000,0.01,0.02,,
507000,0.22,0.40,,
510000,-0.32,-0.58,,
513000,0.00,0.00,,
516000,-0.30,-0.54,,
519000,-0.21,-0.37,,
522000,-0.15,-0.27,,
525000,-0.09,-0.16,,
528000,0.03,0.06,,
531000,-0.34,-0.60,,
534000,-1.82,-3.28,,
537000,-1.25,-2.25,,
540000,-1.93,-3.48,,
543000,-1.60,-2.88,,
546000,-1.71,-3.08,,
549000,-1.72,-3.10,,
552000,-2.10,-3.78,,
555000,-0.76,-1.37,,
558000,-1.18,-2.13,,
561000,-1.24,-2.23,,
564000,-1.35,-2.43,,
567000,-0.88,-1.58,,
570000,-0.52,-0.93,,
573000,0.02,0.03,,
576000,0.47,0.85,,
579000,0.15,0.27,,
582000,-0.40,-0.72,,
585000,-0.38,-0.68,,
588000,-0.14,-0.26,,
591000,-0.07,-0.12,,
594000,0.37,0.66,,
597000,-0.27,-0.48,,
600000,-0.28,-0.51,,
603000,0.27,0.48,,
606000,0.16,0.29,,
609000,0.20,0.37,,
612000,0.85,1.53,,
615000,1.00,1.79,,
618000,0.81,1.47,,
621000,0.47,0.85,,
624000,-0.23,-0.42,,
627000,-0.45,-0.81,,
630000,-1.55,-2.79,,
633000,-1.69,-3.04,,
636000,-1.41,-2.53,,
639000,-1.62,-2.92,,
642000,-1.62,-2.91,,
645000,-1.76,-3.17,,
648000,-1.82,-3.28,,
651000,-1.67,-3.00,,
654000,-1.77,-3.18,,
657000,-1.59,-2.86,,
660000,-1.69,-3.05,,
663000,-1.21,-2.18,,
666000,-1.13,-2.04,,
669000,-1.79,-3.23,,
672000,-1.14,-2.06,,
675000,-1.17,-2.10,,
678000,-1.69,-3.04,,
681000,-0.86,-1.54,,
684000,-0.09,-0.16,,
687000,-0.91,-1.63,,
690000,0.00,0.00,,
693000,0.60,1.07,,
696000,0.52,0.93,,
699000,1.06,1.92,,
702000,0.86,1.55,,
705000,0.50,0.89,,
708000,0.06,0.11,,
711000,-1.07,-1.93,,
714000,-1.28,-2.31,,
717000,-1.10,-1.99,,
720000,-1.10,-1.99,,
723000,-1.44,-2.60,,
726000,-0.80,-1.44,,
729000,-0.73,-1.31,,
732000,-0.91,-1.64,,
735000,0.13,0.24,,
738000,-0.26,-0.48,,
741000,-0.60,-1.09,,
744000,-0.30,-0.55,,
747000,-1.02,-1.83,,
750000,-0.96,-1.72,,
753000,-1.07,-1.92,,
756000,-1.84,-3.31,,
759000,-1.81,-3.25,,
762000,-1.08,-1.94,,
765000,-0.52,-0.93,,
768000,-0.85,-1.54,,
771000,-0.71,-1.29,,
774000,-0.78,-1.40,,
777000,-0.42,-0.76,,
780000,0.26,0.47,,
783000,-0.04,-0.07,,
786000,-0.56,-1.01,,
789000,-0.99,-1.78,,
792000,-1.16,-2.08,,
795000,-2.46,-4.42,,
798000,-1.68,-3.03,,
