,start_year
8803,6
8804,10
8805,10
8806,10
8807,20
8808,24
8809,30
8810,32
8811,36
8812,40
8813,43
8814,44
8815,49
8816,50
8817,50
8818,50
8819,50
8820,50
8821,50
8822,50
8823,50
8824,50
8825,50
8826,50
8827,50
8828,50
8829,50
8830,50
8831,50
8832,50
8833,50
8834,50
8835,50
8836,50
8837,50
8838,50
8839,50
8840,50
8841,50
8842,50
8843,50
8844,50
8845,50
8846,50
8847,50
8848,50
8849,54
8850,56
8851,60
8852,60
8853,61
8854,80
8855,80
8856,80
8857,80
8858,80
8859,80
8860,80
8861,80
8862,80
8863,90
8864,90
8865,90
8866,90
8867,91
8868,91
8869,100
8870,100
8871,100
8872,100
8873,100
8874,100
8875,100
8876,100
8877,100
8878,100
8879,100
8880,100
8881,104
8882,114
8883,120
8884,120
8885,122
8886,126
8887,126
8888,130
8889,135
8890,141
8891,150
8892,150
8893,150
8894,150
8895,150
8896,150
8897,150
8898,150
8899,150
8900,150
8901,150
8902,150
8903,160
8904,160
8905,160
8906,170
8907,170
8908,170
8909,171
8910,180
8911,180
8912,180
8913,183
8914,190
8915,190
8916,190
8917,197
8918,200
8919,200
8920,200
8921,200
8922,200
8923,200
8924,200
8925,200
8926,200
8927,200
8928,200
8929,200
8930,200
8931,200
8932,200
8933,200
8934,208
8935,210
8936,210
8937,210
8938,210
8939,215
8940,217
8941,220
8942,220
8943,220
8944,220
8945,220
8946,230
8947,230
8948,230
8949,230
8950,240
8951,250
8952,250
8953,250
8954,250
8955,250
8956,250
8957,250
8958,250
8959,250
8960,250
8961,253
8962,258
8963,260
8964,260
8965,260
8966,270
8967,270
8968,270
8969,270
8970,270
8971,270
8972,270
8973,270
8974,280
8975,280
8976,290
8977,290
8978,300
8979,300
8980,300
8981,300
8982,300
8983,300
8984,300
8985,300
8986,300
8987,300
8988,310
8989,310
8990,320
8991,320
8992,320
8993,325
8994,330
8995,330
8996,340
8997,345
8998,350
8999,350
9000,350
9001,350
9002,350
9003,350
9004,350
9005,350
9006,350
9007,350
9008,350
9009,350
9010,350
9011,350
9012,350
9013,350
9014,350
9015,360
9016,360
9017,360
9018,370
9019,370
9020,370
9021,370
9022,380
9023,380
9024,390
9025,390
9026,390
9027,396
9028,400
9029,400
9030,400
9031,400
9032,400
9033,400
9034,400
9035,400
9036,400
9037,400
9038,400
9039,400
9040,400
9041,400
9042,410
9043,410
9044,420
9045,420
9046,425
9047,430
9048,430
9049,433
9050,440
9051,440
9052,440
9053,442
9054,450
9055,450
9056,450
9057,450
9058,450
9059,450
9060,450
9061,450
9062,460
9063,470
9064,470
9065,475
9066,479
9067,480
9068,490
9069,490
9070,490
9071,500
9072,500
9073,500
9074,500
9075,500
9076,500
9077,500
9078,510
9079,510
9080,520
9081,520
9082,520
9083,530
9084,530
9085,530
9086,531
9087,540
9088,550
9089,550
9090,550
9091,550
9092,550
9093,550
9094,550
9095,550
9096,550
9097,550
9098,550
9099,550
9100,550
9101,550
9102,550
9103,550
9104,550
9105,550
9106,550
9107,550
9108,550
9109,550
9110,550
9111,550
9112,550
9113,550
9114,550
9115,560
9116,560
9117,565
9118,580
9119,580
9120,580
9121,580
9122,580
9123,585
9124,590
9125,590
9126,590
9127,590
9128,590
9129,590
9130,600
9131,600
9132,600
9133,600
9134,600
9135,600
9136,600
9137,600
9138,600
9139,600
9140,600
9141,600
9142,610
9143,610
9144,610
9145,620
9146,620
9147,620
9148,620
9149,630
9150,640
9151,640
9152,640
9153,650
9154,650
9155,650
9156,650
9157,650
9158,650
9159,650
9160,650
9161,650
9162,650
9163,650
9164,650
9165,650
9166,650
9167,650
9168,657
9169,660
9170,665
9171,670
9172,670
9173,670
9174,670
9175,680
9176,690
9177,695
9178,700
9179,700
9180,700
9181,700
9182,700
9183,700
9184,700
9185,700
9186,700
9187,700
9188,700
9189,700
9190,700
9191,720
9192,730
9193,730
9194,735
9195,740
9196,740
9197,750
9198,750
9199,750
9200,750
9201,750
9202,750
9203,750
9204,750
9205,750
9206,750
9207,750
9208,750
9209,760
9210,770
9211,770
9212,778
9213,780
9214,780
9215,780
9216,780
9217,787
9218,790
9219,790
9220,800
9221,800
9222,800
9223,800
9224,800
9225,800
9226,800
9227,800
9228,800
9229,800
9230,800
9231,800
9232,800
9233,800
9234,800
9235,800
9236,820
9237,820
9238,830
9239,830
9240,830
9241,830
9242,830
9243,850
9244,850
9245,850
9246,850
9247,850
9248,850
9249,850
9250,850
9251,850
9252,850
9253,850
9254,850
9255,850
9256,860
9257,870
9258,870
9259,880
9260,890
9261,900
9262,900
9263,900
9264,900
9265,900
9266,920
9267,920
9268,920
9269,930
9270,930
9271,930
9272,930
9273,940
9274,940
9275,950
9276,950
9277,950
9278,950
9279,950
9280,950
9281,950
9282,950
9283,950
9284,950
9285,950
9286,950
9287,960
9288,960
9289,980
9290,990
9291,990
9292,990
9293,1000
9294,1000
9295,1000
9296,1000
9297,1010
9298,1010
9299,1010
9300,1010
9301,1010
9302,1010
9303,1010
9304,1010
9305,1020
9306,1020
9307,1030
9308,1030
9309,1040
9310,1040
9311,1040
9312,1050
9313,1050
9314,1050
9315,1050
9316,1050
9317,1050
9318,1050
9319,1050
9320,1050
9321,1050
9322,1050
9323,1050
9324,1050
9325,1050
9326,1050
9327,1050
9328,1050
9329,1050
9330,1050
9331,1050
9332,1050
9333,1050
9334,1050
9335,1050
9336,1050
9337,1050
9338,1060
9339,1060
9340,1080
9341,1080
9342,1080
9343,1080
9344,1080
9345,1084
9346,1090
